userName,score,at,content
adi rahma,1,2025-03-09 03:55:04,"Parah, masa pengiriman yang sharusnya cm 4-5 jam tp bisa smpai 6 hari, jd total 10 hari yang seharusnya 3 hari smpai, Keterlambatan hny diberi voucher 10 ribu yg trnyata g bisa dpakai krn ad batas waktu, Bikin sakit hati, Kasih pringatan final u jasa pengiriman yg lelet kaya gini, trus ksih voucher stengah harga tanpa batas waktu u pmbeli, sediakan menu batalkan pesanan yang terlambat, kerugian limpahkan ke jasa pengiriman !!!! Ini bru benar !!!!"
jainuri jainuri,2,2025-03-09 03:00:27,Belanja di shopie menyenangkan apalagi expedisi SPX.Tapi untuk saat ini sangat menyebalkan untuk EXPEDISI SPX kinerja sangat buruk ada beberapa paket yang stuck dan akun punya istri saya juga sama banyak yang stuck.dan beri klaim 10000 tapi itu sangat g ada manfaatnya apalagi ada batas pakainya.lebih baik voucher klaim barang jaminan tepat waktu langsung di masukkan ke shopie pay.dari pihak shopie berani apa tidak.bila itu dilakukan kami merasa puas dengan keputusan tersebut.tapi saya tidak
Pangeran Kesiangan,3,2025-03-09 02:46:43,"Sekian lama memakai aplikasi shopee baru kali ini bikin kecewa, semakin bertambah tahun bukanya makin bertambah maju malah bertambah rusak, loading terus, memuat terus pas mau pesan padahal signal bagus , mohon buat admin perbaiki secepatnya..... Terimakasih"
adam maulana,1,2025-03-09 02:35:43,"pengiriman menggunakan spx sangat lambat , tidak cepat di kirim dan buruknya sistem shopee pasti memprioritaskan sistem pengiriman mereka(spx) tetapi tidak meningkatkan layanan pengiriman tersebut menurut saya jika spx dirasa belum mampu bersaing dengan jasa pengiriman lain , jangan prioritaskan spx dulu , perbaiki itu dulu buatkan opsi pembeli memilih jasa kirim sendiri saat checkout"
〔 Aldi〕,2,2025-03-09 02:14:31,"Selama belanja dan beli barang dari Shopee itu sangat puas, tapi kepuasaan tersebut lebih baik jangan dari lengkapnya barang yang dijual, saya kemarin baru beli sebuah barang yang saat saya beli dan saya cek notifikasi tidak barang yang sedang saya checkout dan akhirnya saya coba beli lagi dan ternyata masih tidak ada, dan akhirnya 2 hari kemudian ada notifikasi tiba tiba barang tersebut telah dikirim padahal kemarin tidak ada notif checkout, aduhh ada juga bugnya ini 😞😞😞"
Isya silvia,3,2025-03-09 01:51:49,"gak jelas! saya gak bisa liat live, ""kami sedang memuat fitur"" gitu aja terus🤬! padahal saya udh nungguin itu ber jam jam tapi tetep aja cuma muter muter kaya gangsing. padahal udh di update, jaringan lancar, bolak-balik hapus ceche sm data, udh log in ulang juga tapi tetep gak bisa?!???"
Dimas Prasetya,1,2025-03-09 01:23:35,"Makin merendah aja ini Shopee skrng.! Percuma pasang iklan GTW GTW (Garansi Tepat Waktu). Dulu Voucher GTW 10rb tanpa minimal belanja terus naik minimal belanja 30rb terus naik lagi 50rb, ehh selang sehari tepatnya (08/03) langsung berubah minimal belanja nya jadi 60rb.."
Lani Lani,1,2025-03-09 00:55:34,"Kok aplikasi shope sekarang makin kesini makin ga karuan. Istilahnya yg biasanya dapet voucher kecantikan, voucher rumah tangga, voucher video. Sekrng tidak dapat, dan harus bikin toko itu star dulu,, kalau tidak star tidak bisa . Jadi sekarang pindah haluan belanja nya. Saya buat jualan toko kosmetik dan fashion, setiap 1 Minggu sekali 20 resi Jadi skrng NOL resi. Mohon di perbaiki dan di permudah. Terima kasih banyak"
Vickacyntia Bella,3,2025-03-08 23:11:26,"kenapa si sistem pembatalan di shoope hanya sekali, harusnya itu bukan di tentukan sama shoppe, tergantung sama penjualnya gimana mau batal in atau ngganya,saya salah pencet tarik batalkan pesanan karena hp mau jatuh eh malah ketarik, padahal dari pihak penjual dan pembeli sudah setuju mau membatalkan pesanan-_-"
akuye aku,1,2025-03-08 22:38:52,"cacat sistem dari shopee bisa pesanan selesai padahal barang masih dalam proses pengiriman masih jauh, saya hanya scrol layar tiba kepencet pesanan selesai tidak sengaja, tidak bisa dibatalkan, sistem yang cacat pesanan saya baru dikirim timbul pesanan selesai😡seharus nya tidak ada opsi pesanan selesai jika dari kurir belum menyatakan barang telah sampai😡"
Jack zinzan82,5,2025-03-08 21:28:47,"Untuk belanja online banyak macam pilihan nya dan harga murah2, cuman dari dulu aplikasi nya seperti agak berat apa mungkin terlalu banyak fitur nya."
Brebes Anjay,3,2025-03-08 19:47:22,"tolong min setiap buka shopee itu suka leg apk nya kuota ada jaringan stabil tapi apk nya minta ampun mau cari barang jadi ribet,terus pengiriman nya juga suka muter"" jadi gak sesuai estimasi nya selalu di undur' tolong perbaiki🙏🙏"
Gutmanto Adi Prabowo,3,2025-03-08 19:04:55,"Dihantar toko online shopee masih unggul, hanya saja untuk saya pribadi ada pengalaman tidak mengenakan di expedisi. Berkali-kali paket salah jalur dan penanganan dari pihak shopee juga lama. Paket dibatalkan kurir sepihak juga pernah. Kejadian tidak hanya sekali. Cs juga terkadang tidak faham dengan apa yang ditanya pembeli dan terlalu sering meminta maaf tanpa memberikan jawaban yang relevan"
Putra pinim Putra,5,2025-03-08 18:55:27,Saya sangat senang dengan aplikasi ini membuat belanja makin mudah pengiriman barang cepat sesuai dengan pengiriman dan saya pernah memakai aplikasi yang lainnya tapi kualitas tidak memuaskan dan saya pernah di tipu tidak sesuai dengan pengiriman lain yang di pesan lain pulak yang datang teruntuk aplikasi Shopee terima kasi ya saya sangat beruntung mempunyai aplikasi ini
Sylvia Hendratwono,1,2025-03-08 17:59:01,"Sy sdh coba adukan permasalahan terkait Tdk bisa dibuka nya halaman splater, jd sy Tdk bisa melihat rincian dr paylater sy tp hanya di ping Pong sana sini padahal sy sdh kirim bukti halaman yg TDK bisa terbuka..blm selesai satu case skr untuk pembelian pulsa juga halaman tidak bisa dibuka... ada info sdg dlm perbaikan dan ini sdh 1 Minggu berjalan..semakin kesini shopee semakin membuat pelanggan tidak nyaman...sy TDK pernah sekalipun terlambat dlm pembayaran !!"
